metabolite	query_protein	log2_abundance	log2_abundance_corrected	met_mean	met_sd	p_value	q_value
O-Phospho-L-serine	ALDOA	-3.145747567	-2.58361609	-0.041294091	0.134860229	2.85E-79	1.93E-76
2-Deoxycytidine 5-diphosphate	ALDOA	-2.049391647	-1.224691634	-0.038301044	0.122482215	3.45E-22	5.74E-20
Cytidine 5-diphosphate	ALDOA	-2.324956617	-1.249462925	-0.038824386	0.16333168	1.24E-13	1.17E-11
Hippuric acid	ALDOA	-1.049453737	-0.622905928	0.022552986	0.089612251	5.90E-13	5.23E-11
D-3-Phosphoglyceric acid	ALDOA	0.513185248	1.065756831	-0.012775794	0.156699583	5.87E-12	4.70E-10
5-Phospho-D-ribose 1-diphosphate	ALDOA	-2.31148548	1.805054659	0.090984727	0.253162246	1.28E-11	1.00E-09
D-Glyceraldehyde 3-phosphate;Dihydroxyacetone phosphate	ALDOA	0.53524757	0.805416232	2.78E-04	0.122499984	4.95E-11	3.70E-09
Hypotaurine	ALDOA	-0.782400999	-0.3764725	-0.006510628	0.056336635	5.13E-11	3.83E-09
L-Cystine	ALDOA	-1.727636575	-1.19852634	0.027277682	0.198540544	6.66E-10	4.45E-08
Orotidine 5-monophosphate	ALDOA	-1.00067892	1.271193761	0.022989282	0.224002094	2.51E-08	1.35E-06
Citraconic acid	ALDOA	0.078208157	0.405657248	-0.020500043	0.078097877	4.85E-08	2.49E-06
Indole-3-acetic acid	ALDOA	0.161559027	0.533630482	0.036589961	0.092714426	8.28E-08	4.12E-06
N-Acetyl-D-glucosamine 1-phosphate	ALDOA	-0.201253069	1.356656158	0.033601336	0.249158387	1.10E-07	5.31E-06
Xanthosine 5-monophosphate	ALDOA	-0.93806212	-0.449553809	0.017586452	0.089592398	1.85E-07	8.64E-06
Nicotinamide ribotide	ALDOA	-0.296334562	0.807640924	0.072306067	0.141697091	2.11E-07	9.78E-06
Cytidine 5-triphosphate	ALDOA	-4.337145751	-0.682969226	0.063793588	0.145415254	2.82E-07	1.28E-05
Uridine 5-diphosphate	ALDOA	-2.113755592	-0.861891872	-0.00439847	0.17893483	1.65E-06	6.56E-05
Deoxycytidine triphosphate	ALDOA	-3.78185659	-0.699373446	0.069367356	0.166792647	4.05E-06	1.49E-04
L-Arabinose;L-Ribulose;D-Xylose	ALDOA	0.036097855	0.446867433	-0.007335515	0.098996567	4.47E-06	1.62E-04
Dihydrouracil	ALDOA	-0.107195364	0.310716836	0.022889703	0.062980514	4.87E-06	1.75E-04
Glucono delta-lactone	ALDOA	-0.004796531	0.387172777	0.00702778	0.08480033	7.37E-06	2.55E-04
2-Deoxycytidine 5-monophosphate	ALDOA	-0.869873747	-0.614644187	-0.043486291	0.13079186	1.26E-05	4.14E-04
L-a-Aspartyl-L-phenylalanine	ALDOA	-0.238806301	0.654634829	0.115003312	0.123722699	1.29E-05	4.22E-04
D-Galactaric acid	ALDOA	-0.672898993	-0.285323824	-0.020963823	0.060736695	1.35E-05	4.39E-04
Dehydroascorbic acid;cis-Aconitic acid	ALDOA	0.052788983	0.843981109	-0.033716657	0.201705963	1.35E-05	4.41E-04
Glyoxylate	ALDOA	-0.636453639	-0.383016779	0.002402196	0.088620717	1.37E-05	4.45E-04
D-Fructose;D-Galactose;Myoinositol	ALDOA	0.053878816	0.424331326	-0.018372114	0.103198102	1.79E-05	5.69E-04
Inosine 5-monophosphate	ALDOA	0.376085437	0.542659554	0.043848931	0.121403627	3.98E-05	0.001158554
5-Methoxy-3-indoleacetic acid	ALDOA	0.171300512	0.506293531	0.060991431	0.1094798	4.75E-05	0.001347475
1-Methylnicotinamide	ALDOA	-0.157663337	0.20185616	0.007635251	0.0491359	7.73E-05	0.002060422
UDP-Glucuronate	ALDOA	-1.386886744	-0.504683369	-0.01244129	0.125142959	8.37E-05	0.002209562
"D-myo-Inositol-1,4,5-triphosphate"	ALDOA	-2.580479015	0.904885771	0.022416839	0.224894265	8.71E-05	0.002284925
Diadenosine triphosphate	ALDOA	-2.175022139	-1.132691767	0.008690444	0.293310506	9.97E-05	0.002565738
3-Furoic acid	ALDOA	-0.079747616	0.705898115	-0.03282869	0.192228895	1.22E-04	0.003051468
Oxaloacetic acid	ALDOA	-0.215770333	0.601534471	-0.022072659	0.164693926	1.53E-04	0.003722149
L-Alanine;Beta-alanine	ALDOA	-0.583139614	-0.328600781	-0.003541331	0.086507579	1.72E-04	0.004112333
NAD	ALDOA	-0.17575172	0.696261811	-0.012554282	0.188752259	1.73E-04	0.004148582
CDP-Glycerol	ALDOA	-0.829586035	-0.266454253	0.023606017	0.077284116	1.75E-04	0.004175967
Hydroxypyruvate	ALDOA	-0.495125861	-0.213327311	-0.019179925	0.052231529	2.02E-04	0.004710628
N-Acetyl-D-glucosamine 6-phosphate	ALDOA	-0.650281789	-0.202830792	-0.004095949	0.053648556	2.12E-04	0.004920203
2-Oxo-4-methylthiobutanoic acid	ALDOA	-0.510879315	-0.449485672	0.051752479	0.135898149	2.26E-04	0.005188414
L-Fucose	ALDOA	0.35602396	0.560660637	-6.32E-04	0.153281105	2.50E-04	0.00565587
2-Deoxyadenosine 5-triphosphate	ALDOA	-2.222979156	0.822117804	0.031551156	0.221347627	3.55E-04	0.007644286
L-Dihydroorotic acid	ALDOA	-0.284353305	0.357603162	0.018471652	0.097041499	4.75E-04	0.009819021
L-Glutamic acid	ALDOA	-0.568125331	-0.214364752	-0.010400595	0.06264753	0.001130967	0.020308772
Nicotinamide hypoxanthine dinucleotide	ALDOA	-0.20708621	0.411513283	-0.002544117	0.127401437	0.001153963	0.020623172
L-Kynurenine	ALDOA	-0.481520476	-0.184459028	0.031002795	0.068005265	0.001533275	0.026115801
"3,5-Diiodo-L-tyrosine"	ALDOA	0.224723024	0.283905794	-0.014303738	0.094513342	0.001603821	0.027132936
2-Deoxyribose-5-phosphate	ALDOA	-0.191472866	0.407914369	-0.017012334	0.136954525	0.001917739	0.031472209
Dulcitol	ALDOA	0.053350711	0.376115494	-0.003208425	0.122328675	0.001929604	0.031627478
Citric acid;Isocitric acid	ALDOA	-0.340672688	0.546096977	-0.041302577	0.192391459	0.002264544	0.035974249
cis-4-Hydroxy-D-proline;trans-4-Hydroxy-L-proline	ALDOA	-0.520201213	-0.130271445	-0.010846986	0.040325383	0.003061239	0.045952644
O-Phosphorylethanolamine	ALDOA	-0.764208902	-0.385076023	-0.023504711	0.122517487	0.003165611	0.047263181
D-Lactaldehyde	ALDOA	-0.211443752	0.166284563	-0.021659218	0.063825301	0.003233102	0.048025536
Guanidineacetic acid	ALDOA	-0.44442317	-0.199117424	0.003704289	0.068913589	0.00324911	0.048222473
"2,3-Diphosphoglyceric acid"	ALDOA	-2.915171374	-0.37767007	0.03087714	0.139404685	0.003382469	0.049780476
"DL-3,4-Dihydroxymandelic acid"	ALDOA	-0.161263032	0.149183084	-0.01683746	0.057249709	0.003732378	0.053581265
N-Acetyl-D-mannosamine	ALDOA	0.082784354	0.294260325	-0.00278905	0.102648892	0.003805631	0.054410187
NADP	ALDOA	-0.884169541	0.517022257	0.010085447	0.178203043	0.004445122	0.061143965
L-Glutamine;D-Glutamine;Ureidoisobutyric acid	ALDOA	-0.506703726	-0.234921311	-0.010766489	0.079556421	0.004839039	0.065399743
Xanthosine	ALDOA	-0.123277104	0.171215218	0.007984256	0.058119177	0.004976423	0.066912738
Homocitrulline	ALDOA	-0.496325747	-0.209368937	2.06E-04	0.07560217	0.005569934	0.073099655
Glutaconic acid	ALDOA	-0.164249048	0.351236282	-0.026259707	0.138229618	0.006315508	0.080631923
Uridine 5-triphosphate	ALDOA	-3.985707563	-0.705923982	-0.008674552	0.260957409	0.007542542	0.092461165
Cytidine monophosphate	ALDOA	-1.042505318	-0.230968536	0.151852994	0.145517022	0.008519216	0.101893623
D-Fructose 6-phosphate;D-Galactose 1-phosphate;D-Glucose 1-phosphate;D-Glucose 6-phosphate;D-Mannose 1-phosphate;D-Mannose 6-phosphate	ALDOA	-0.610579817	0.30804389	-0.031837473	0.133491051	0.010893445	0.123072306
Guanosine 5-diphosphate	ALDOA	-2.234778971	-0.519935422	0.023224013	0.213439302	0.010934166	0.123323517
Indole-3-pyruvic acid	ALDOA	0.47457928	0.659208554	0.010093998	0.260445045	0.012690867	0.137460943
D-Saccharic acid	ALDOA	-1.028648814	-0.402784107	-0.055031365	0.140712239	0.013459451	0.143765984
Uridine	ALDOA	0.020856598	0.439856393	0.048285749	0.159366056	0.014008251	0.14827805
Succinyl coenzyme A	ALDOA	-1.386636108	-0.411408413	-0.016627231	0.164104259	0.016142707	0.163774086
N-Acetylmuramic acid	ALDOA	-0.223396826	0.184300878	-0.014754678	0.083162511	0.016685153	0.167725
Glutaric acid;Ethylmalonic acid	ALDOA	-0.201133763	0.129240354	-0.018057094	0.061613116	0.016817053	0.168783942
"D-Erythrono-1,4-lactone"	ALDOA	-0.434489234	-0.383445401	0.047117395	0.183361802	0.01886643	0.18338044
4-Hydroxyphenylpyruvic acid	ALDOA	-0.070028715	0.168439964	-0.012745134	0.077325775	0.019122218	0.18525067
"D-Fructose 1,6-bisphosphate;D-Glucose 1,6-bisphosphate"	ALDOA	-1.640850749	0.318238631	-0.035118689	0.151155875	0.019402737	0.187175576
D-Glucosamine	ALDOA	-0.494457962	-0.183395265	-0.019593399	0.070527724	0.020205093	0.193004859
Inosine	ALDOA	-0.33237314	-0.257915803	0.040260556	0.129788099	0.021595443	0.201995139
Cytidine	ALDOA	-0.383247168	-0.301531748	0.054795943	0.157761189	0.023905015	0.217263509
