Metabolite	Query_protein	Protein_name	Gene_ID	Uniprot_ID	Protein_complex	log2_abundance	log2_abundance_corrected	met_mean	met_sd	p_value	q_value	Common_metabolite_name	MIDAS_ID	Pool	Screened_concentration_µM	KEGG_ID	HMDB_ID	SMILES_metabolite	KEGG_pathway_association
O-Phospho-L-serine	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-3.145747567	-2.614384349	-0.021937432	0.151073507	5.28E-66	2.95E-63	Phosphoserine	P_2	4	50	C01005	HMDB00272	N[C@@H](COP(O)(O)=O)C(O)=O	"Glycine, serine and threonine metabolism;Cysteine and methionine metabolism;Aminoacyl-tRNA biosynthesis;Carbon metabolism;Biosynthesis of amino acids"
O-Phospho-L-serine	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-3.145747567	-2.614384349	-0.021937432	0.151073507	5.28E-66	2.95E-63	Phosphoserine	P_2	4	50	C01005	HMDB00272	N[C@@H](COP(O)(O)=O)C(O)=O	"Glycine, serine and threonine metabolism;Cysteine and methionine metabolism;Aminoacyl-tRNA biosynthesis;Carbon metabolism;Biosynthesis of amino acids"
2-Deoxycytidine 5-diphosphate	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-2.049391647	-1.222458761	-0.026017544	0.118373317	5.12E-24	9.91E-22	dCDP	CNC_53	4	50	C00705	HMDB01245	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O1	Pyrimidine metabolism
2-Deoxycytidine 5-diphosphate	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-2.049391647	-1.222458761	-0.026017544	0.118373317	5.12E-24	9.91E-22	dCDP	CNC_53	4	50	C00705	HMDB01245	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O1	Pyrimidine metabolism
Cytidine 5-diphosphate	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-2.324956617	-1.281810911	-0.02605063	0.133965791	7.00E-21	1.14E-18	CDP	CNC_70	4	50	C00112	HMDB01546	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	Pyrimidine metabolism
Cytidine 5-diphosphate	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-2.324956617	-1.281810911	-0.02605063	0.133965791	7.00E-21	1.14E-18	CDP	CNC_70	4	50	C00112	HMDB01546	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	Pyrimidine metabolism
Hypotaurine	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-0.782400999	-0.385263153	-0.00316615	0.051097786	7.56E-14	7.74E-12	Hypotaurine	H_13	1	50	C00519	HMDB00965	NCCS(O)=O	Taurine and hypotaurine metabolism
Hypotaurine	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		-0.782400999	-0.385263153	-0.00316615	0.051097786	7.56E-14	7.74E-12	Hypotaurine	H_13	1	50	C00519	HMDB00965	NCCS(O)=O	Taurine and hypotaurine metabolism
D-3-Phosphoglyceric acid	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.513185248	1.092141417	-0.017754426	0.148505126	7.79E-14	7.96E-12	(2R)-2-Hydroxy-3-(phosphonatooxy)propanoate	20C_50	4	50	C00197	HMDB60180	O[C@H](COP(O)(O)=O)C(O)=O	"Glycolysis / Gluconeogenesis;Pentose phosphate pathway;Glycine, serine and threonine metabolism;Cysteine and methionine metabolism;Glycerolipid metabolism;Glyoxylate and dicarboxylate metabolism;Carbon metabolism;Biosynthesis of amino acids;Glucagon signaling pathway;Central carbon metabolism in cancer"
D-3-Phosphoglyceric acid	ALDOA	Fructose-bisphosphate aldolase A	ALDOA	P04075		0.513185248	1.092141417	-0.017754426	0.148505126	7.79E-14	7.96E-12	(2R)-2-Hydroxy-3-(phosphonatooxy)propanoate	20C_50	4	50	C00197	HMDB60180	O[C@H](COP(O)(O)=O)C(O)=O	"Glycolysis / Gluconeogenesis;Pentose phosphate pathway;Glycine, serine and threonine metabolism;Cysteine and methionine metabolism;Glycerolipid metabolism;Glyoxylate and dicarboxylate metabolism;Carbon metabolism;Biosynthesis of amino acids;Glucagon signaling pathway;Central carbon metabolism in cancer"
