metabolite	query_protein	log2_abundance	log2_abundance_corrected	met_mean	met_sd	p_value	q_value
O-Phospho-L-serine	ALDOA	-3.145747567	-2.616111485	-0.026806977	0.150476943	2.34E-66	1.29E-63
2-Deoxycytidine 5-diphosphate	ALDOA	-2.049391647	-1.241303248	-0.02684335	0.116600871	2.11E-25	4.10E-23
Cytidine 5-diphosphate	ALDOA	-2.324956617	-1.304332881	-0.032060919	0.131701271	4.45E-22	7.52E-20
Hippuric acid	ALDOA	-1.049453737	-0.628628873	0.021035335	0.086311423	5.19E-14	5.15E-12
D-3-Phosphoglyceric acid	ALDOA	0.513185248	1.089928555	-0.02162365	0.149982348	1.25E-13	1.20E-11
D-Glyceraldehyde 3-phosphate;Dihydroxyacetone phosphate	ALDOA	0.53524757	0.86706233	0.012738693	0.116333557	2.08E-13	1.95E-11
5-Phospho-D-ribose 1-diphosphate	ALDOA	-2.31148548	1.723259502	0.080196327	0.225498087	3.18E-13	2.94E-11
Hypotaurine	ALDOA	-0.782400999	-0.378547658	-0.003748193	0.053087721	1.66E-12	1.45E-10
Uridine 5-diphosphate	ALDOA	-2.458004274	-1.239112386	0.025338631	0.184830317	7.86E-12	6.44E-10
L-Cystine	ALDOA	-1.727636575	-1.264857747	0.013749548	0.216370923	3.44E-09	2.07E-07
Citraconic acid	ALDOA	0.078208157	0.438509827	-0.01480197	0.080573554	1.84E-08	1.00E-06
Indole-3-acetic acid	ALDOA	0.161559027	0.533341779	0.028356889	0.091129206	3.00E-08	1.58E-06
Orotidine 5-monophosphate	ALDOA	-1.00067892	0.951657866	0.005912078	0.184024565	2.76E-07	1.23E-05
N-Acetyl-D-glucosamine 1-phosphate	ALDOA	-0.201253069	1.143827725	-9.99E-04	0.22383424	3.14E-07	1.39E-05
Inosine 5-monophosphate	ALDOA	0.376085437	0.600370193	0.04004263	0.111913239	5.53E-07	2.36E-05
"D-myo-Inositol-1,4,5-triphosphate"	ALDOA	-2.580479015	0.970106895	0.031430367	0.188235929	6.14E-07	2.59E-05
2-Deoxycytidine 5-monophosphate	ALDOA	-0.869873747	-0.608797518	-0.035243824	0.124051817	3.77E-06	1.38E-04
Dehydroascorbic acid;cis-Aconitic acid	ALDOA	0.052788983	0.900041282	-0.024908566	0.200080506	3.78E-06	1.38E-04
Glucono delta-lactone	ALDOA	-0.004796531	0.391463608	0.002857613	0.084287895	4.02E-06	1.46E-04
L-Arabinose;L-Ribulose;D-Xylose	ALDOA	0.036097855	0.456147668	0.008103974	0.099679994	6.96E-06	2.37E-04
NAD	ALDOA	-0.17575172	0.713047965	0.010717965	0.15815023	8.96E-06	2.98E-04
L-a-Aspartyl-L-phenylalanine	ALDOA	-0.238806301	0.564482393	0.095347306	0.106405746	1.04E-05	3.40E-04
Dihydrouracil	ALDOA	-0.107195364	0.311602634	0.027180048	0.064715929	1.11E-05	3.61E-04
5-Methoxy-3-indoleacetic acid	ALDOA	0.171300512	0.506259364	0.04685831	0.106419841	1.58E-05	4.98E-04
D-Fructose;D-Galactose;Myoinositol	ALDOA	0.053878816	0.426995862	-0.008828201	0.101669137	1.81E-05	5.62E-04
Xanthosine 5-monophosphate	ALDOA	-0.93806212	-0.445158639	0.009286482	0.106690928	2.05E-05	6.27E-04
Oxaloacetic acid	ALDOA	-0.215770333	0.603053971	-0.037135449	0.155075835	3.66E-05	0.001047472
2-Deoxyadenosine 5-triphosphate	ALDOA	-2.222979156	0.779005709	0.026175777	0.183865159	4.23E-05	0.001192004
Glyoxylate	ALDOA	-0.636453639	-0.364919048	0.009982411	0.096217194	9.76E-05	0.002523033
