Query	HMDB	ChEBI	KEGG	SMILES
(2R)-2-Hydroxy-3-(phosphonatooxy)propanoate	NA	NA	NA	NA
(R)-3-Hydroxybutyric acid	HMDB0000011	17066	C01089	C[C@@H](O)CC(O)=O
(R)-3-Hydroxyisobutyric acid	HMDB0000336	NA	NA	C[C@H](CO)C(O)=O
(S)-3-Hydroxybutyric acid	HMDB0000442	17290	C03197	C[C@@H](CC(=O)O)O
(S)-3-Hydroxyisobutyric acid	HMDB0000023	37373	C06001	C[C@@H](CO)C(O)=O
1-Methylhistidine	HMDB0000001	50599	C01152	CN1C=NC(C[C@H](N)C(O)=O)=C1
1-Methylnicotinamide	HMDB0000699	16797	C02918	C[N+]1=CC=CC(=C1)C(N)=O
"2,3-Diphosphoglyceric acid"	HMDB0001294	17720	C01159	OC(=O)[C@@H](COP(O)(O)=O)OP(O)(O)=O
2-Amino-3-phosphonopropionic acid	HMDB0000370	28388	C05672	NC(CP(O)(O)=O)C(O)=O
2-Aminobenzoic acid	HMDB0001123	30754	C00108	NC1=CC=CC=C1C(O)=O
2'-Deoxyguanosine 5'-monophosphate	HMDB0001044	16192	C00362	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)N1
2-Deoxyribonic acid	HMDB0000366	86350	NA	O=C(O)C(O)(O)CO
2-Ethylhydracrylic acid	HMDB0000396	741550	NA	CCC(CO)C(=O)O
2-Furoylglycine	HMDB0000439	82912	NA	OC(=O)CNC(=O)C1=CC=CO1
2-Hydroxy-3-methylpentanoic acid	HMDB0000317	89228	NA	CC[C@@H](C)[C@H](C(=O)O)O
2-Hydroxybutyric acid	HMDB0000008	1148	C05984	CCC(O)C(=O)O
2-Ketobutyric acid	HMDB0000005	30831	C00109	CCC(=O)C(O)=O
2-Methylbutyrylglycine	HMDB0000339	86366	NA	CCC(C)C(=O)NCC(O)=O
2-Methylglutaric acid	HMDB0000422	68567	NA	CC(CCC(=O)O)C(=O)O
2-Oxo-4-methylthiobutanoic acid	HMDB0001553	33574	C01180	CSCCC(=O)C(=O)O
"3,4-Dihydroxybenzeneacetic acid"	HMDB0001336	41941	C01161	OC(=O)CC1=CC(O)=C(O)C=C1
"3,4-Dihydroxymandelic acid"	HMDB0001866	27637	C05580	OC(C(O)=O)C1=CC=C(O)C(O)=C1
"3,4-Dihydroxyphenylglycol"	HMDB0000318	1387	C05576	OCC(O)C1=CC(O)=C(O)C=C1
"3,5-Diiodo-L-tyrosine"	HMDB0003474	15768	C01060	[H][C@](N)(CC1=CC(I)=C(O)C(I)=C1)C(O)=O
3-Amino-2-piperidone	HMDB0000323	76341	NA	NC1CCCNC1=O
3-Aminoisobutanoic acid	HMDB0003911	27389	C05145	CC(CN)C(=O)O
3-Furoic acid	HMDB0000444	30846	NA	OC(=O)C1=COC=C1
3-Hexenedioic acid	HMDB0000393	86952	NA	C(/C=C/CC(=O)O)C(=O)O
3-Hydroxy-3-methylglutaryl-CoA	HMDB0001375	15467	C00356	C[C@](CC(=O)O)(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O)O
3-Hydroxyanthranilic acid	HMDB0001476	15793	C00632	NC1=C(O)C=CC=C1C(O)=O
3-Hydroxybutyryl-CoA	HMDB0001166	15452	C03561	C[C@H](CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O)O
3-Hydroxyglutaric acid	HMDB0000428	NA	NA	OC(CC(O)=O)CC(O)=O
3-Hydroxymethylglutaric acid	HMDB0000355	16831	C03761	CC(CC(=O)O)(CC(=O)O)O
3-Methoxyanthranilate	HMDB60374	NA	C05831	COC1=CC=CC(C(O)=O)=C1N
3-Methoxytyramine	HMDB0000022	742324	C05587	COC1=C(O)C=CC(CCN)=C1
3-Methyl-2-oxovaleric acid	HMDB0000491	35932	C03465	CCC(C)C(=O)C(O)=O
3-Methylglutaconic acid	HMDB0000522	37245	NA	C/C(=C\C(=O)O)/CC(=O)O
3-Sulfopyruvic acid	HMDB0004045	16894	C05528	OC(=O)C(=O)CS(O)(=O)=O
"4,5-Dihydroorotic acid"	HMDB0000528	30865	C00337	OC(=O)C1CC(=O)NC(=O)N1
4-Guanidinobutanoic acid	HMDB0003464	15728	C01035	NC(=N)NCCCC(O)=O
4-Hydroxybenzoic acid	HMDB0000500	30763	C00156	OC(=O)C1=CC=C(O)C=C1
4-Hydroxyphenylpyruvic acid	HMDB0000707	15999	C01179	OC(=O)C(=O)CC1=CC=C(O)C=C1
4-Hydroxyproline	HMDB0000725	18095	C01157	O[C@H]1CN[C@@H](C1)C(O)=O
4-Pyridoxic acid	HMDB0000017	17405	C00847	CC1=NC=C(CO)C(C(O)=O)=C1O
5-Hydroxylysine	HMDB0000450	18040	C16741	NC[C@H](O)CC[C@H](N)C(O)=O
5-Methoxyindoleacetate	HMDB0004096	28281	C05660	COC1=CC2=C(NC=C2CC(O)=O)C=C1
5-Methoxytryptamine	HMDB0004095	2089	C05659	COC1=CC2=C(NC=C2CCN)C=C1
5-Methyltetrahydrofolic acid	HMDB0001396	15641	C00440	CN1C(CNC2=CC=C(C=C2)C(=O)N[C@H](CCC(O)=O)C(O)=O)CNC2=C1C(=O)NC(N)=N2
5-Thymidylic acid	HMDB0001227	17013	C00364	CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O
6-Deoxy-L-galactonic acid	NA	NA	C01720	C[C@@H]([C@H]([C@H]([C@@H](C(=O)O)O)O)O)O
6-Dimethylaminopurine	HMDB0000473	60281	NA	CN(C)C1=NC=NC2=C1NC=N2
6-Phosphogluconic acid	HMDB0001316	48928	C00345	O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O
Acetoacetic acid	HMDB0000060	15344	C00164	CC(=O)CC(=O)O
Acetylcholine	HMDB0000895	15355	C01996	CC(=O)OCC[N+](C)(C)C
Acetyl-CoA	HMDB0001206	15351	C00024	CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O
Acetylglycine	HMDB0000532	40410	NA	CC(=O)NCC(O)=O
Adenine	HMDB0000034	16708	C00147	NC1=C2NC=NC2=NC=N1
Adenosine	HMDB0000050	16335	C00212	NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1
"Adenosine 3',5'-diphosphate"	HMDB0000061	17985	C00054	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H]1O
Adenosine monophosphate	HMDB0000045	16027	C00020	NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
Adenosine phosphosulfate	HMDB0001003	17709	C00224	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](O)[C@H]1O
Adenosine triphosphate	HMDB0000538	15422	C00002	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
Adenylsuccinic acid	HMDB0000536	15919	C03794	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2NC(CC(O)=O)C(O)=O
ADP	HMDB0001341	16761	C00008	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
AICAR	HMDB0001517	18406	C04677	NC(=O)C1=C(N)N(C=N1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
"Alpha-D-Glucose 1,6-bisphosphate"	HMDB0003514	18148	C01231	O[C@H]1[C@H](O)[C@@H](COP(O)(O)=O)O[C@H](OP(O)(O)=O)[C@@H]1O
Alpha-ketoisovaleric acid	HMDB0000019	16530	C00141	CC(C)C(=O)C(=O)O
Alpha-Lactose	HMDB0000186	36219	C00243	OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O
Aminoadipic acid	HMDB0000510	37024	NA	NC(CCCC(=O)O)C(=O)O
Anserine	HMDB0000194	18323	C01262	CN1C=NC=C1C[C@H](NC(=O)CCN)C(O)=O
Arabinonic acid	HMDB0000539	20912	C00878	OC[C@@H](O)[C@@H](O)[C@H](O)C(O)=O
Ascorbic acid	HMDB0000044	29073	C01041	[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
Aspartylphenylalanine	HMDB0000706	73830	NA	N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O
Benzenebutanoic acid	HMDB0000543	41500	NA	OC(=O)CCCC1=CC=CC=C1
Benzoic acid	HMDB0001870	30746	C00539	OC(=O)C1=CC=CC=C1
Beta-Alanine	HMDB0000056	16958	C00099	NCCC(O)=O
"beta-D-Fructose 1,6-bisphosphate"	HMDB0060444	16905	C00354	O[C@H]1[C@H](O)[C@](O)(COP(O)(O)=O)O[C@@H]1COP(O)(O)=O
Betaine	HMDB0000043	17750	C00719	C[N+](C)(C)CC([O-])=O
Betaine aldehyde	HMDB0001252	15710	C00576	C[N+](C)(C)CC=O
Biotin	HMDB0000030	15956	C00120	[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2
Butyryl-CoA	HMDB0001088	57371	C00136	CCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O
Cadaverine	HMDB0002322	18127	C01672	NCCCCCN
Capric acid	HMDB0000511	30813	C01571	CCCCCCCCCC(=O)O
Caprylic acid	HMDB0000482	28837	C06423	CCCCCCCC(=O)O
Carnosine	HMDB0000033	15727	C00386	NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O
CDP	HMDB0001546	17239	C00112	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
CDP-Ethanolamine	HMDB0001564	16732	C00570	NCCOP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O
CDP-glycerol	HMDB0059599	17885	C00513	OCC(O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=N)N=C1O
Cellobiose	HMDB0000055	36217	C06422	OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
Chitobiose	HMDB0003556	NA	C01674	CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(O)=O)[C@@H]1O
Choline	HMDB0000097	15354	C00114	C[N+](C)(C)CCO
cis-4-Hydroxy-D-proline	HMDB0060460	16231	C03440	O[C@H]1CN[C@H](C1)C(O)=O
cis-Aconitic acid	HMDB0000072	32805	C00417	OC(=O)C\C(=C\C(O)=O)C(O)=O
Citicoline	HMDB0001413	16436	C00307	C[N+](C)(C)CCOP([O-])(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O
Citraconic acid	HMDB0000634	17626	C02226	C/C(=C/C(=O)O)/C(=O)O
Citramalic acid	HMDB0000426	15584	C00815	CC(CC(=O)O)(C(=O)O)O
Citric acid	HMDB0000094	30769	C00158	OC(=O)CC(O)(CC(O)=O)C(O)=O
Citrulline	HMDB0000904	16349	C00327	N[C@@H](CCCNC(N)=O)C(O)=O
Coenzyme A	HMDB0001423	15346	C00010	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCS
Creatine	HMDB0000064	16919	C00300	CN(CC(O)=O)C(N)=N
Crotonoyl-CoA	HMDB0002009	15473	C00877	C/C=C/C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O
Cyclic AMP	HMDB0000058	17489	C00575	[H][C@@]12COP(O)(=O)O[C@@]1([H])[C@@H](O)[C@@H](O2)N1C=NC2=C1N=CN=C2N
Cyclic GMP	HMDB0001314	16356	C00942	NC1=NC2=C(N=CN2[C@@H]2O[C@@H]3COP(O)(=O)O[C@H]3[C@H]2O)C(=O)N1
Cysteamine	HMDB0002991	17141	C01678	NCCS
Cysteic acid	HMDB0002757	21260	C00506	NC(CS(O)(=O)=O)C(O)=O
