Metabolite	Common_metabolite_name	KEGG_ID	HMDB_ID	SMILES_metabolite
O-Phospho-L-serine	Phosphoserine	C01005	HMDB00272	N[C@@H](COP(O)(O)=O)C(O)=O
O-Phospho-L-serine	Phosphoserine	C01005	HMDB00272	N[C@@H](COP(O)(O)=O)C(O)=O
2-Deoxycytidine 5-diphosphate	dCDP	C00705	HMDB01245	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O1
2-Deoxycytidine 5-diphosphate	dCDP	C00705	HMDB01245	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O1
Cytidine 5-diphosphate	CDP	C00112	HMDB01546	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
Cytidine 5-diphosphate	CDP	C00112	HMDB01546	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
Hypotaurine	Hypotaurine	C00519	HMDB00965	NCCS(O)=O
Hypotaurine	Hypotaurine	C00519	HMDB00965	NCCS(O)=O
D-3-Phosphoglyceric acid	(2R)-2-Hydroxy-3-(phosphonatooxy)propanoate	C00197	HMDB60180	O[C@H](COP(O)(O)=O)C(O)=O
D-3-Phosphoglyceric acid	(2R)-2-Hydroxy-3-(phosphonatooxy)propanoate	C00197	HMDB60180	O[C@H](COP(O)(O)=O)C(O)=O
D-Glyceraldehyde 3-phosphate	D-Glyceraldehyde 3-phosphate	C00118	HMDB01112	OC(COP(O)(O)=O)C=O
Glycerone phosphate	Dihydroxyacetone phosphate	 C00111	HMDB01473	OCC(=O)COP(O)(O)=O
D-Glyceraldehyde 3-phosphate	D-Glyceraldehyde 3-phosphate	C00118	HMDB01112	OC(COP(O)(O)=O)C=O
Glycerone phosphate	Dihydroxyacetone phosphate	 C00111	HMDB01473	OCC(=O)COP(O)(O)=O
Hippuric acid	Hippuric acid	C01586	HMDB00714	OC(=O)CNC(=O)C1=CC=CC=C1
Hippuric acid	Hippuric acid	C01586	HMDB00714	OC(=O)CNC(=O)C1=CC=CC=C1
5-Phospho-D-ribose 1-diphosphate	Phosphoribosyl pyrophosphate	C00119	HMDB00280	O[C@H]1[C@@H](O)[C@@H](OP(O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O
5-Phospho-D-ribose 1-diphosphate	Phosphoribosyl pyrophosphate	C00119	HMDB00280	O[C@H]1[C@@H](O)[C@@H](OP(O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O
Uridine 5-diphosphate	Uridine 5'-diphosphate	C00015	HMDB00295	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
Uridine 5-diphosphate	Uridine 5'-diphosphate	C00015	HMDB00295	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
L-Cystine	L-Cystine	C00491	HMDB00192	N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O
L-Cystine	L-Cystine	C00491	HMDB00192	N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O
Citraconic acid	Citraconic acid	C02226	HMDB00634	C\C(=C\C(O)=O)C(O)=O
Citraconic acid	Citraconic acid	C02226	HMDB00634	C\C(=C\C(O)=O)C(O)=O
N-Acetyl-D-glucosamine 1-phosphate	N-Acetyl-glucosamine 1-phosphate	 C04501	HMDB01367	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)OC1OP(O)(O)=O
N-Acetyl-D-glucosamine 1-phosphate	N-Acetyl-glucosamine 1-phosphate	 C04501	HMDB01367	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)OC1OP(O)(O)=O
Indole-3-acetic acid	Indoleacetic acid	C00954	HMDB00197	OC(=O)CC1=CNC2=C1C=CC=C2
Indole-3-acetic acid	Indoleacetic acid	C00954	HMDB00197	OC(=O)CC1=CNC2=C1C=CC=C2
Orotidine 5-monophosphate	Orotidylic acid	C01103	HMDB00218	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C(=O)NC(=O)C=C1C(O)=O
Orotidine 5-monophosphate	Orotidylic acid	C01103	HMDB00218	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C(=O)NC(=O)C=C1C(O)=O
Nicotinamide adenine dinucleotide	NAD	 C00003	HMDB00902	NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O
Nicotinamide adenine dinucleotide	NAD	 C00003	HMDB00902	NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O
Inosine 5-monophosphate	Inosinic acid	C00130	HMDB00175	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O
Inosine 5-monophosphate	Inosinic acid	C00130	HMDB00175	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O
D-Fructose	D-Fructose	C00095	HMDB00660	OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O
D-Galactose	D-Galactose	C00124	HMDB00143	OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
Myo-Inositol	Myoinositol	C00137	HMDB00211	O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O
D-Fructose	D-Fructose	C00095	HMDB00660	OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O
D-Galactose	D-Galactose	C00124	HMDB00143	OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
Myo-Inositol	Myoinositol	C00137	HMDB00211	O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O
D-Xylose	D-Xylose	C00181	HMDB00098	O[C@@H]1COC(O)[C@H](O)[C@H]1O
L-Arabinose	L-Arabinose	C00259	HMDB00646	O[C@H]1COC(O)[C@H](O)[C@H]1O
L-Ribulose	L-Ribulose	C00508	HMDB03371	OCC1(O)OC[C@@H](O)[C@@H]1O
D-Xylose	D-Xylose	C00181	HMDB00098	O[C@@H]1COC(O)[C@H](O)[C@H]1O
L-Arabinose	L-Arabinose	C00259	HMDB00646	O[C@H]1COC(O)[C@H](O)[C@H]1O
L-Ribulose	L-Ribulose	C00508	HMDB03371	OCC1(O)OC[C@@H](O)[C@@H]1O
Dihydrouracil	Dihydrouracil	C00429	HMDB00076	O=C1CCNC(=O)N1
Dihydrouracil	Dihydrouracil	C00429	HMDB00076	O=C1CCNC(=O)N1
2-Deoxy-5-cytidylic acid	dCMP	 C00239	HMDB01202	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1
