Metabolite	Query_protein	Protein_name	Gene_ID	Uniprot_ID	Protein_complex	log2_abundance	log2_abundance_corrected	met_mean (model comparison)	met_sd (model comparison)	p_value	q_value	Common_metabolite_name	MIDAS_ID	Pool	KEGG_ID_metabolite	HMDB_ID_metabolite	SMILES_metabolite
D-Glycerol 1-phosphate	E1	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-4.393273313	-4.034036287	0.019846325	0.125113777	2.61E-230	1.17E-226	Glycerol 3-phosphate	CNC_158	3	C00093	HMDB00126	OC[C@@H](O)COP(O)(O)=O
"2,3-Diphospho-D-glyceric acid"	PGAM1	Phosphoglycerate mutase 1	PGAM1	 P18669		-4.380216781	-4.032189703	0.027534283	0.13812007	6.80E-190	2.08E-186	"2,3-Diphosphoglyceric acid"	CNC_94	4	C01159	HMDB01294	OC(=O)[C@@H](COP(O)(O)=O)OP(O)(O)=O
Guanosine 5-monophosphate	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-7.202862586	-5.955392848	0.249754336	0.218883414	8.59E-177	2.27E-173	Guanosine monophosphate	G_17	2	C00144	HMDB01397	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1
"2,3-Diphospho-D-glyceric acid"	GCK	Hexokinase-4	GCK	P35557		-5.154622942	-3.780419256	0.027534283	0.13812007	2.56E-167	6.19E-164	"2,3-Diphosphoglyceric acid"	CNC_94	4	C01159	HMDB01294	OC(=O)[C@@H](COP(O)(O)=O)OP(O)(O)=O
Uridine monophosphate	IDH3A2BG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3B; IDH3G	P50213; O43837; P51553	A2BG	-3.400870766	-3.098978524	0.003821075	0.114188649	1.37E-162	3.18E-159	Uridine 5'-monophosphate	U_3	3	C00105	HMDB00288	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O
Uridine 5-diphosphate	IDH2	"Isocitrate dehydrogenase [NADP], mitochondrial"	IDH2	P48735		-5.187391362	-4.452236724	0.032147738	0.170087104	3.43E-153	7.39E-150	Uridine 5'-diphosphate	CNC_25	4	C00015	HMDB00295	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
Orotidine 5-monophosphate	GCK	Hexokinase-4	GCK	P35557		-8.533322216	-6.362182238	0.14514097	0.256355132	3.79E-142	7.33E-139	Orotidylic acid	CNC_77	4	C01103	HMDB00218	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C(=O)NC(=O)C=C1C(O)=O
Cytidine monophosphate	IDH3A2BG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3B; IDH3G	P50213; O43837; P51553	A2BG	-4.204420882	-3.686132065	0.106293805	0.173215687	2.95E-106	3.89E-103	Cytidine monophosphate	4C_16	3	C00055	HMDB00095	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
Guanosine 5-monophosphate	ALDOCconc	Fructose-bisphosphate aldolase C	ALDOC	P09972		-5.254242313	-4.524469493	0.249754336	0.218883414	1.80E-105	2.32E-102	Guanosine monophosphate	G_17	2	C00144	HMDB01397	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1
Phosphatidic Acid	IDH2	"Isocitrate dehydrogenase [NADP], mitochondrial"	IDH2	P48735		-6.005538913	-5.74425776	0.04042603	0.277508721	1.69E-96	2.05E-93	Phosphatidic acid	AVL_2	4	C00350		O=P(O)(OC[C@H](OC(=O)CCCCC)COC(=O)CCCCC)O
